Periodo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Actividades terciarias >  51 Informaci�n en medios masivos Total nacional ,100,100,100,100,100,100,100,100,100,100,100
,Actividades terciarias >  51 Informaci�n en medios masivos Aguascalientes ,0.384011003,0.420954493,0.434870492,0.433732543,0.473902811,0.468427864,0.471238816,0.494383714,0.536696983,0.509988509,0.542707139
,Actividades terciarias >  51 Informaci�n en medios masivos Baja California ,1.354820571,1.395081594,1.4033975,1.37167813,1.60817629,1.647888276,1.590936046,1.679592371,1.816731228,1.836405826,1.864202872
,Actividades terciarias >  51 Informaci�n en medios masivos Baja California Sur ,0.301357478,0.320730293,0.338111912,0.326840498,0.327302893,0.345789019,0.35344146,0.327202741,0.333446139,0.341396836,0.34025344
,Actividades terciarias >  51 Informaci�n en medios masivos Campeche ,0.359806348,0.339292905,0.355652906,0.360993557,0.367736137,0.367728048,0.364690677,0.322213781,0.2903791,0.287723069,0.290110699
,Actividades terciarias >  51 Informaci�n en medios masivos Coahuila de Zaragoza ,0.916148773,0.914128409,0.911554566,0.901976933,0.959091141,0.968973672,0.949628069,0.896253883,0.955087466,0.923887183,0.942086283
,Actividades terciarias >  51 Informaci�n en medios masivos Colima ,0.22201462,0.227012967,0.241887621,0.24852081,0.286101875,0.299340515,0.311188216,0.281101889,0.29788719,0.301449214,0.313909528
,Actividades terciarias >  51 Informaci�n en medios masivos Chiapas ,0.504586062,0.514985643,0.545632185,0.562554678,0.644234587,0.664702003,0.667550112,0.623961303,0.657382737,0.626235187,0.683571518
,Actividades terciarias >  51 Informaci�n en medios masivos Chihuahua ,1.590610846,1.561332167,1.662811462,1.634825136,1.874060258,1.930052756,1.920289241,1.834657019,1.964893029,1.979029537,1.953412063
,Actividades terciarias >  51 Informaci�n en medios masivos Ciudad de M�xico ,64.86998998,64.03227082,63.5113614,63.27645143,60.54046501,59.71841293,59.78231262,61.40500744,59.59996642,59.75878538,58.61496952
,Actividades terciarias >  51 Informaci�n en medios masivos Durango ,0.326662491,0.361153867,0.344445231,0.33270491,0.375978205,0.411731763,0.478388668,0.451238418,0.517443488,0.484071704,0.518756886
